budget,genres,original_language,popularity,production_companies,production_countries,release_date,revenue,runtime,vote_average,vote_count,title,soup
30000000,"[{'id': 16, 'name': 'Animation'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]",en,21.946943,"[{'name': 'Pixar Animation Studios', 'id': 3}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1995-10-30,373554033.0,81.0,7.7,5415.0,Toy Story,Animation Comedy Family johnlasseter johnlasseter tomhanks timallen donrickles jealousy toy boy friendship friend rivalry boynextdoor newtoy toycomestolife
65000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}, {'id': 10751, 'name': 'Family'}]",en,17.015539,"[{'name': 'TriStar Pictures', 'id': 559}, {'name': 'Teitler Film', 'id': 2550}, {'name': 'Interscope Communications', 'id': 10201}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1995-12-15,262797249.0,104.0,6.9,2413.0,Jumanji,Adventure Fantasy Family joejohnston joejohnston robinwilliams jonathanhyde kirstendunst boardgame disappearance basedonchildren'sbook newhome recluse giantinsect
16000000,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",en,3.859495,"[{'name': 'Twentieth Century Fox Film Corporation', 'id': 306}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1995-12-22,81452156.0,127.0,6.1,34.0,Waiting To Exhale,Comedy Drama Romance forestwhitaker forestwhitaker whitneyhouston angelabassett lorettadevine basedonnovel interracialrelationship singlemother divorce chickflick
0,"[{'id': 35, 'name': 'Comedy'}]",en,8.387519,"[{'name': 'Sandollar Productions', 'id': 5842}, {'name': 'Touchstone Pictures', 'id': 9195}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1995-02-10,76578911.0,106.0,5.7,173.0,Father Of The Bride Part Ii,Comedy charlesshyer charlesshyer stevemartin dianekeaton martinshort baby midlifecrisis confidence aging daughter motherdaughterrelationship pregnancy contraception gynecologist
60000000,"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",en,17.924927,"[{'name': 'Regency Enterprises', 'id': 508}, {'name': 'Forward Pass', 'id': 675}, {'name': 'Warner Bros.', 'id': 6194}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1995-12-15,187436818.0,170.0,7.7,1886.0,Heat,Action Crime Drama Thriller michaelmann michaelmann alpacino robertdeniro valkilmer robbery detective bank obsession chase shooting thief honor murder suspense heist betrayal money gang catandmouse criminalmastermind cultfilm ex-con heistmovie onelastjob loner bankjob neo-noir gunfight crimeepic
35000000,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 53, 'name': 'Thriller'}]",en,5.23158,"[{'name': 'Universal Pictures', 'id': 33}, {'name': 'Imperial Entertainment', 'id': 21437}, {'name': 'Signature Entertainment', 'id': 23770}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1995-12-22,64350171.0,106.0,5.5,174.0,Sudden Death,Action Adventure Thriller peterhyams peterhyams jean-claudevandamme powersboothe dorianharewood terrorist hostage explosive vicepresident
58000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]",en,14.686036,"[{'name': 'United Artists', 'id': 60}, {'name': 'Eon Productions', 'id': 7576}]","[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",1995-11-16,352194034.0,130.0,6.6,1194.0,Goldeneye,Adventure Action Thriller martincampbell martincampbell piercebrosnan seanbean izabellascorupco cuba falselyaccused secretidentity computervirus secretbase secretintelligenceservice kgb satellite specialcar cossack electromagneticpulse timebomb st.petersburgrussia ejectionseat redarmy
62000000,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",en,6.318445,"[{'name': 'Columbia Pictures', 'id': 5}, {'name': 'Castle Rock Entertainment', 'id': 97}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1995-11-17,107879496.0,106.0,6.5,199.0,The American President,Comedy Drama Romance robreiner robreiner michaeldouglas annettebening michaelj.fox whitehouse usapresident newlove widower wildlifeconservation
0,"[{'id': 10751, 'name': 'Family'}, {'id': 16, 'name': 'Animation'}, {'id': 12, 'name': 'Adventure'}]",en,12.140733,"[{'name': 'Universal Pictures', 'id': 33}, {'name': 'Amblin Entertainment', 'id': 56}, {'name': 'Amblimation', 'id': 4105}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1995-12-22,11348324.0,78.0,7.1,423.0,Balto,Family Animation Adventure simonwells simonwells kevinbacon bobhoskins bridgetfonda wolf dog-sleddingrace alaska dog goose bearattack dogsled frozenlake
44000000,"[{'id': 36, 'name': 'History'}, {'id': 18, 'name': 'Drama'}]",en,5.092,"[{'name': 'Hollywood Pictures', 'id': 915}, {'name': 'Cinergi Pictures Entertainment', 'id': 1504}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1995-12-22,13681765.0,192.0,7.1,72.0,Nixon,History Drama oliverstone oliverstone anthonyhopkins joanallen powersboothe usapresident presidentialelection watergatescandal biography government historicalfigure
